time,x_nav,y_nav,z_nav,a_nav,b_nav,c_nav,target
0.06536388397216797,454.2739010251092,-245.76687054771554,-1204.0727593017616,11.650521011510214,-48.505502800977105,-162.75521666010007,False
0.2988264560699463,454.34040276351266,-245.7626649435792,-1204.0535566096194,11.689051016869675,-48.571819100077825,-162.7482670773018,False
0.5155425071716309,454.32886052647325,-245.69926129966464,-1203.847714526001,11.643053365486841,-48.43907710142659,-162.76981712075172,False
0.7214338779449463,454.36109795001664,-245.71191648753904,-1203.8743787869173,11.685889744721454,-48.52747723209573,-162.77493033478888,False
0.9541609287261963,454.2668778835123,-245.7499203823127,-1204.0659707791408,11.6794813922782,-48.472829742232925,-162.80000551067457,False
1.1424534320831299,454.33724326503835,-245.72178832662934,-1204.0172291183658,11.717231139704163,-48.50096835297695,-162.80845130006844,False
1.3741681575775146,454.2930072786461,-245.75113961165334,-1203.9935906662895,11.664944309229218,-48.539351643710795,-162.75955233203277,False
1.5628139972686768,454.2622378213549,-245.78830234290018,-1204.184226437603,11.631812128043832,-48.45920719050024,-162.76550855360335,False
1.7806780338287354,454.3122389314383,-245.71682558768046,-1203.9112082119202,11.656378854720208,-48.49307024956845,-162.75855175883217,False
1.9864239692687988,454.3122389314383,-245.71682558768046,-1203.9112082119202,11.656378854720208,-48.49307024956845,-162.75855175883217,False
2.216677665710449,454.30952963935624,-245.77113856186816,-1204.0651095820033,11.775355727361108,-48.53906135590617,-162.83927902259325,False
2.419454574584961,454.2496148530025,-245.76620296498038,-1204.161619775402,11.6737388738641,-48.52976120050892,-162.774144072846,False
2.620882987976074,454.33245221665663,-245.7111310333051,-1203.9860168795437,11.679438236825689,-48.509022308905344,-162.78254571548254,False
2.8217456340789795,454.3025012252673,-245.76032508764723,-1203.985643913245,11.64707784844767,-48.51193038140419,-162.76566092502267,False
3.0021893978118896,454.2980904074441,-245.66166487812595,-1204.0492550172658,11.730619344773437,-48.49077799632249,-162.8158063625664,False
3.2299296855926514,454.37373412082945,-245.73997052216507,-1203.8747373219524,11.641931712068397,-48.47710287747063,-162.75978379135756,False
3.460638999938965,454.26462722033943,-245.77183508606413,-1204.2373584852567,11.740081577798883,-48.549874348101916,-162.7934299143799,False
3.6802122592926025,454.3999259110566,-245.6935698353213,-1203.8259571377632,11.746828701549378,-48.53441790968644,-162.8082543125378,False
3.8991358280181885,454.33119277140037,-245.7384885090656,-1203.984690128933,11.619999371676755,-48.45107320821432,-162.74949702285184,False
4.144038677215576,454.30479941089277,-245.70458604144986,-1204.1354928875126,11.729235270122862,-48.513817640682845,-162.8120099769214,False
4.380472660064697,454.34374085367875,-245.78643445180808,-1203.8707778605653,11.594088220817264,-48.47241994254378,-162.7249917481775,False
4.603600978851318,454.36159343425516,-245.66554645405753,-1203.8274009933539,11.59251780188522,-48.446490614595845,-162.7395160865407,False
4.847295761108398,454.31032436506655,-245.7688991908971,-1203.9205982063231,11.736925240648658,-48.48619100761711,-162.843720599638,False
5.065520763397217,454.2749524011407,-245.74148082877426,-1204.1453959769701,11.718094583772631,-48.51370344643147,-162.8022758426859,False
